path	category	language	size_bytes	line_count	imports	symbols
MacTalk/MacTalkTests/ScreenAudioCaptureTests.swift	Tests	Swift	12887	389	AVFoundation,ScreenCaptureKit,XCTest	class:ScreenAudioCaptureTests,func:isRunningInCI,func:testInitialization,func:testCallbacksInitiallyNil,func:testAssignAudioSampleBufferCallback,func:testAssignStreamErrorCallback,func:testStopWithoutStarting,func:testMultipleStopCalls,func:testSelectFirstWindowWithInvalidAppName,func:testSelectDisplayWhenNoDisplaysAvailable,func:testConcurrentCallbackAssignment,func:testConcurrentStopCalls,func:testSelectAppMethodExists,func:testSelectDisplayWithParameterMethodExists,func:testDeinitCallsStop,func:testCallbacksDoNotCreateRetainCycles,func:testCallbackAssignmentPerformance,func:testStopPerformance,func:testScreenCaptureContentQuery,func:testApplicationsHaveExpectedProperties,func:testDisplaysHaveExpectedProperties,func:testStopDuringCallbackExecution,func:testRapidStartStop,func:testCallbackExecutionOrder,func:testErrorCallbackNotCalledOnSuccess,func:testErrorCallbackRetainsErrorInfo
MacTalk/MacTalkTests/StatusBarControllerTests.swift	Tests	Swift	5234	218	XCTest	class:StatusBarControllerTests,func:testInitialization,func:testStatusItemCreation,func:testShowStatusBar,func:testStatusBarButton,func:testMenuCreation,func:testInitialState,func:testDefaultModel,func:testDefaultMode,func:testAutoPasteDefault,func:testMemoryLeakOnCreation,func:testMultipleInstances,func:testShowAndHideStatusBar,func:testCompleteSetup,func:testShowMultipleTimes,func:testShowWithoutInitialization,func:testInitializationPerformance,func:testShowPerformance,func:testMultipleShowPerformance,func:testConcurrentInitialization,func:testCleanup
MacTalk/MacTalkTests/PermissionFlowIntegrationTests.swift	Tests	Swift	6162	166	XCTest	class:PermissionFlowIntegrationTests,func:testScreenRecordingPermissionCheck,func:testScreenRecordingPermissionCheckIsConsistent,func:testAccessibilityPermissionCheckDoesNotCrash,func:testAccessibilityPermissionCheckIsConsistent,func:testAllPermissionsCanBeCheckedSimultaneously,func:testPermissionStatusSummary,func:testClipboardManagerPermissionCheck,func:testClipboardManagerSetClipboard,func:testScreenRecordingPermissionPersistsAcrossChecks,func:testMultiplePermissionChecksDoNotBlock,func:testPermissionCheckPerformance
MacTalk/MacTalk/StatusBarController.swift	AppSource	Swift	44781	1197	AppKit	enum:ScreenCaptureError,class:StatusBarController,func:show,func:createModelSubmenu,func:setupMenu,func:statusBarButtonClicked,func:startMicOnly,func:startMicPlusApp,func:stopRecording,func:toggleAutoPaste,func:selectModel,func:selectModelSpec,func:selectParakeet,func:requestProviderSwitch,func:setStartItemsEnabled,func:checkPermissions,func:showSettings,func:showAbout,func:quit,func:prepareWhisperModel,func:prepareWhisperModelWithAutoDownload,func:showDownloadConfirmationDialog,func:startModelDownload,func:handleDownloadState,func:handleParakeetDownloadState,func:showParakeetDownloadConfirmation,func:updateProviderMenuState,func:prepareEngineForCurrentProvider,func:prepareParakeetEngine,func:providerDidChange,func:resumeRecordingAfterProviderSwitch,func:setupTranscriptionCallbacks,func:startRecording,func:startRecording,func:updateMenuBarIcon,func:showModelMissingAlert,func:showError,func:showInfo,func:showNotification,func:cleanup,func:updateMenuShortcuts,func:updateMenuItemShortcut,func:showAppPicker,func:loadAudioSources,func:registerShortcuts,func:shortcutsDidChange,func:settingsDidChange,func:toggleRecording,func:toggleMicOnly,func:toggleMicPlusApp,func:toggleHUD
MacTalk/MacTalk/HotkeyManager.swift	AppSource	Swift	5782	193	AppKit,Carbon	class:HotkeyManager,func:register,func:unregister,func:unregisterAll,func:registerEventHandler,func:handleHotkeyPressed,extension:HotkeyManager,enum:Modifiers,enum:KeyCode,func:registerStartStop
MacTalk/MacTalk/TranscriptionController.swift	AppSource	Swift	19084	552	Foundation,os	class:TranscriptionController,enum:Mode,struct:PendingChunkTask,struct:AudioState,func:start,func:startAppAudioCapture,func:stop,func:processAudioBuffer,func:processSampleBuffer,func:appendSamples,func:processChunk,func:flushFinalChunk,func:emitFinalTranscript,func:cleanTranscript,func:handleAppAudioError,func:fallbackToMicOnly,func:configureBatteryMode,func:throttledUIUpdate,func:logAudioDiagnosticsIfNeeded,func:cancelPendingChunkTasks,func:removePendingChunkTask
MacTalk/MacTalk/Permissions.swift	AppSource	Swift	6347	192	AVFoundation,CoreGraphics,ScreenCaptureKit	enum:Permissions,func:ensureMic,func:isMicrophoneAuthorized,func:checkScreenRecordingPermission,func:requestScreenRecordingPermission,func:ensureScreenRecordingGuide,func:ensureAccessibilityPrompt,func:isAccessibilityTrusted,func:requestAccessibilityPermission,func:openMicrophoneSettings,func:openScreenRecordingSettings,func:openAccessibilitySettings,struct:PermissionStatus,func:getPermissionStatus
MacTalk/MacTalk/DebugLogger.swift	AppSource	Swift	1710	51	Foundation	class:DebugLogger,func:log,func:DLOG
MacTalk/MacTalk/SettingsWindowController.swift	AppSource	Swift	34209	852	AppKit,Carbon	class:SettingsWindowController,func:setupUI,func:createGeneralTab,func:createOutputTab,func:createAudioTab,func:createShortcutsTab,func:createAdvancedTab,func:createPermissionsTab,func:loadSettings,func:saveSettings,func:generalSettingChanged,func:outputSettingChanged,func:audioSettingChanged,func:advancedSettingChanged,func:providerSelectionChanged,func:downloadParakeetModel,func:openSystemSettings,func:resetShortcutsToDefaults,func:startObservingEngineState,func:updateProviderUI,func:updateEngineStatus,func:updateDownloadStatus,func:restoreProviderSelection,func:showParakeetDownloadConfirmation,func:saveShortcut,func:loadShortcut
MacTalk/MacTalk/HUDWindowController.swift	AppSource	Swift	13711	370	AppKit,QuartzCore	class:HUDWindowController,func:setupUI,func:centerWindow,func:updatePartial,func:updateFinal,func:truncateForDisplay,func:update,func:updateMicLevel,func:updateAppLevel,func:setAppMeterVisible,func:resetLevels,func:stopButtonClicked,func:reset,func:resetTranscript,func:animateIn,func:animateOut,func:setupAccessibility
